Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Open position,8763259,AUDNZD.PRO,0.45,Buy,1.10463,1.0678,2023/06/20 01:32:19,1970/01/01 00:00:00,2023/06/20,1970/01/01,-1013.39,-372.74,-3.15,-1389.28,0,0,-368.3,Loss,0,76,PineConnector v2.141-11834,compoundit
Open position,8763596,AUDNZD.PRO,0.45,Buy,1.10448,1.0678,2023/06/20 03:03:50,1970/01/01 00:00:00,2023/06/20,1970/01/01,-1009.26,-372.74,-3.15,-1385.15,0,0,-366.8,Loss,0,76,PineConnector v2.141-11862,compoundit
Open position,8763639,AUDNZD.PRO,0.45,Buy,1.10429,1.0678,2023/06/20 03:15:36,1970/01/01 00:00:00,2023/06/20,1970/01/01,-1004.04,-372.74,-3.15,-1379.93,0,0,-364.9,Loss,0,76,PineConnector v2.141-11864,compoundit
Open position,8765347,AUDNZD.PRO,0.45,Buy,1.10313,1.0678,2023/06/20 04:32:34,1970/01/01 00:00:00,2023/06/20,1970/01/01,-972.12,-372.74,-3.15,-1348.01,0,0,-353.3,Loss,0,76,PineConnector v2.141-11906,compoundit
Open position,8765362,AUDNZD.PRO,0.45,Buy,1.1026,1.0678,2023/06/20 04:33:33,1970/01/01 00:00:00,2023/06/20,1970/01/01,-957.53,-372.74,-3.15,-1333.42,0,0,-348,Loss,0,76,PineConnector v2.141-11911,compoundit
Open position,8767585,AUDNZD.PRO,0.45,Buy,1.10121,1.0678,2023/06/20 05:07:20,1970/01/01 00:00:00,2023/06/20,1970/01/01,-919.29,-372.74,-3.15,-1295.18,0,0,-334.1,Loss,0,76,PineConnector v2.141-11958,compoundit
Open position,8769332,AUDNZD.PRO,0.45,Buy,1.09958,1.0678,2023/06/20 05:49:04,1970/01/01 00:00:00,2023/06/20,1970/01/01,-874.44,-372.74,-3.15,-1250.33,0,0,-317.8,Loss,0,76,PineConnector v2.141-11979,compoundit
Open position,8776572,AUDNZD.PRO,0.45,Buy,1.09876,1.0678,2023/06/20 10:54:20,1970/01/01 00:00:00,2023/06/20,1970/01/01,-851.88,-372.74,-3.15,-1227.77,0,0,-309.6,Loss,0,76,PineConnector v2.141-12170,compoundit
Open position,8776881,AUDNZD.PRO,0.45,Buy,1.09842,1.0678,2023/06/20 11:06:04,1970/01/01 00:00:00,2023/06/20,1970/01/01,-842.52,-372.74,-3.15,-1218.41,0,0,-306.2,Loss,0,76,PineConnector v2.141-12187,compoundit
Open position,8777946,AUDNZD.PRO,0.45,Buy,1.09759,1.0678,2023/06/20 11:37:49,1970/01/01 00:00:00,2023/06/20,1970/01/01,-819.68,-372.74,-3.15,-1195.57,0,0,-297.9,Loss,0,76,PineConnector v2.141-12213,compoundit
Open position,8812827,AUDNZD.PRO,0.45,Buy,1.09714,1.0678,2023/06/21 10:22:49,1970/01/01 00:00:00,2023/06/21,1970/01/01,-807.3,-371.18,-3.15,-1181.63,0,0,-293.4,Loss,0,76,PineConnector v2.141-12874,compoundit
Open position,8815249,AUDNZD.PRO,0.45,Buy,1.09695,1.0678,2023/06/21 12:32:21,1970/01/01 00:00:00,2023/06/21,1970/01/01,-802.07,-371.18,-3.15,-1176.40,0,0,-291.5,Loss,0,76,PineConnector v2.141-12954,compoundit
Open position,13566101,AUDNZD.PRO,0.09,Buy,1.09674,1.0678,2023/06/21 13:32:04,1970/01/01 00:00:00,2023/06/21,1970/01/01,-159.26,-74.24,-0.63,-234.13,0,0,-289.4,Loss,0,76,from #13354853,compoundit
Open position,12194509,EURCAD.PRO,0.2,Sell,1.41588,1.45015,2023/09/28 09:45:00,1970/01/01 00:00:00,2023/09/28,1970/01/01,-509.29,38.73,-1.4,-471.96,0,0,-342.7,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12194775,EURCAD.PRO,0.2,Sell,1.41613,1.45015,2023/09/28 09:46:35,1970/01/01 00:00:00,2023/09/28,1970/01/01,-505.58,38.73,-1.4,-468.25,0,0,-340.2,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12194789,EURCAD.PRO,0.21,Sell,1.41631,1.45015,2023/09/28 09:47:08,1970/01/01 00:00:00,2023/09/28,1970/01/01,-528.05,40.76,-1.47,-488.76,0,0,-338.4,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12195142,EURCAD.PRO,0.21,Sell,1.41654,1.45015,2023/09/28 09:56:50,1970/01/01 00:00:00,2023/09/28,1970/01/01,-524.46,40.76,-1.47,-485.17,0,0,-336.1,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12195232,EURCAD.PRO,0.22,Sell,1.4168,1.45015,2023/09/28 10:02:02,1970/01/01 00:00:00,2023/09/28,1970/01/01,-545.19,42.63,-1.54,-504.10,0,0,-333.5,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12195242,EURCAD.PRO,0.22,Sell,1.41711,1.45015,2023/09/28 10:02:51,1970/01/01 00:00:00,2023/09/28,1970/01/01,-540.12,42.63,-1.54,-499.03,0,0,-330.4,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12195323,EURCAD.PRO,0.23,Sell,1.41743,1.45015,2023/09/28 10:06:29,1970/01/01 00:00:00,2023/09/28,1970/01/01,-559.2,44.59,-1.61,-516.22,0,0,-327.2,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12195327,EURCAD.PRO,0.23,Sell,1.41789,1.45015,2023/09/28 10:07:00,1970/01/01 00:00:00,2023/09/28,1970/01/01,-551.34,44.59,-1.61,-508.36,0,0,-322.6,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12195359,EURCAD.PRO,0.23,Sell,1.41848,1.45015,2023/09/28 10:10:40,1970/01/01 00:00:00,2023/09/28,1970/01/01,-541.25,44.59,-1.61,-498.27,0,0,-316.7,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12195878,EURCAD.PRO,0.24,Sell,1.41909,1.45015,2023/09/28 10:19:10,1970/01/01 00:00:00,2023/09/28,1970/01/01,-553.9,46.56,-1.68,-509.02,0,0,-310.6,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12197033,EURCAD.PRO,0.24,Sell,1.41977,1.45015,2023/09/28 11:03:13,1970/01/01 00:00:00,2023/09/28,1970/01/01,-541.78,46.56,-1.68,-496.90,0,0,-303.8,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12197151,EURCAD.PRO,0.25,Sell,1.42054,1.45015,2023/09/28 11:15:56,1970/01/01 00:00:00,2023/09/28,1970/01/01,-550.05,48.52,-1.75,-503.28,0,0,-296.1,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12198543,EURCAD.PRO,0.26,Sell,1.42152,1.45015,2023/09/28 12:34:30,1970/01/01 00:00:00,2023/09/28,1970/01/01,-553.12,50.39,-1.82,-504.55,0,0,-286.3,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12201690,EURCAD.PRO,0.27,Sell,1.42267,1.45015,2023/09/28 14:37:04,1970/01/01 00:00:00,2023/09/28,1970/01/01,-551.33,52.36,-1.89,-500.86,0,0,-274.8,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12208730,EURCAD.PRO,0.33,Sell,1.42366,1.45015,2023/09/28 16:57:07,1970/01/01 00:00:00,2023/09/28,1970/01/01,-649.57,63.99,-2.31,-587.89,0,0,-264.9,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12208968,EURCAD.PRO,0.34,Sell,1.42479,1.45015,2023/09/28 17:04:25,1970/01/01 00:00:00,2023/09/28,1970/01/01,-640.7,65.91,-2.38,-577.17,0,0,-253.6,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12212670,EURCAD.PRO,0.35,Sell,1.42608,1.45015,2023/09/28 18:25:02,1970/01/01 00:00:00,2023/09/28,1970/01/01,-625.99,67.82,-2.45,-560.62,0,0,-240.7,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12271585,EURCAD.PRO,0.36,Sell,1.42778,1.45015,2023/09/29 17:22:54,1970/01/01 00:00:00,2023/09/29,1970/01/01,-598.41,68.97,-2.52,-531.96,0,0,-223.7,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12273129,EURCAD.PRO,0.37,Sell,1.42977,1.45015,2023/09/29 17:42:57,1970/01/01 00:00:00,2023/09/29,1970/01/01,-560.31,70.93,-2.59,-491.97,0,0,-203.8,Loss,0,9751421,AW Recovery Average,compoundit
Open position,12276027,EURCAD.PRO,0.38,Sell,1.4325,1.45015,2023/09/29 18:48:51,1970/01/01 00:00:00,2023/09/29,1970/01/01,-498.37,72.8,-2.66,-428.23,0,0,-176.5,Loss,0,9751421,AW Recovery Average,compoundit
Open position,13634163,EURCAD.PRO,0.22,Sell,1.43575,1.45015,2023/09/29 22:57:42,1970/01/01 00:00:00,2023/09/29,1970/01/01,-235.4,42.12,-1.54,-194.82,0,0,-144.0,Loss,0,9751421,from #12999773,compoundit
Open position,12871624,EURCAD.PRO,0.03,Sell,1.44217,1.45015,2023/10/18 19:17:44,1970/01/01 00:00:00,2023/10/18,1970/01/01,-17.79,5.12,-0.21,-12.88,0,0,-79.8,Loss,0,9751422,AW Recovery Average,compoundit
Open position,12871627,EURCAD.PRO,0.03,Sell,1.44221,1.45015,2023/10/18 19:17:59,1970/01/01 00:00:00,2023/10/18,1970/01/01,-17.7,5.12,-0.21,-12.79,0,0,-79.4,Loss,0,9751422,AW Recovery Average,compoundit
Open position,12871629,EURCAD.PRO,0.03,Sell,1.44225,1.45015,2023/10/18 19:18:02,1970/01/01 00:00:00,2023/10/18,1970/01/01,-17.61,5.12,-0.21,-12.70,0,0,-79.0,Loss,0,9751422,AW Recovery Average,compoundit
